"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"03/10/2022","110.048","116.134","5,54","110.048","116.134","52,19B"
"30/09/2022","107.664","110.037","2,20","107.315","110.502","66,86B"
"29/09/2022","108.449","107.664","-0,73","106.244","108.449","59,57B"
"28/09/2022","108.377","108.451","0,07","107.914","108.970","57,55B"
"27/09/2022","109.122","108.376","-0,68","108.120","110.161","59,00B"
"26/09/2022","111.713","109.114","-2,33","109.022","111.713","30,77B"
"23/09/2022","114.047","111.716","-2,06","110.732","114.047","65,67B"
"22/09/2022","111.942","114.070","1,91","111.819","114.392","62,72B"
"21/09/2022","112.517","111.936","-0,52","111.380","113.294","59,51B"
"20/09/2022","111.824","112.517","0,62","111.393","112.544","56,28B"
"19/09/2022","109.283","111.824","2,33","108.508","111.976","30,31B"
"16/09/2022","109.951","109.280","-0,61","108.489","109.952","68,57B"
"15/09/2022","110.547","109.954","-0,54","109.524","111.100","58,07B"
"14/09/2022","110.794","110.547","-0,22","110.118","111.504","69,56B"
"13/09/2022","113.398","110.794","-2,30","110.522","113.400","51,71B"
"12/09/2022","112.307","113.407","0,99","112.305","114.160","27,33B"
"09/09/2022","109.922","112.300","2,17","109.922","112.540","54,67B"
"08/09/2022","109.771","109.916","0,14","108.619","110.768","59,29B"
"06/09/2022","112.203","109.764","-2,17","109.348","112.203","59,00B"
"05/09/2022","110.868","112.203","1,21","110.865","112.671","28,08B"
"02/09/2022","110.409","110.864","0,42","110.409","112.264","68,13B"
"01/09/2022","109.524","110.405","0,81","108.217","110.405","63,70B"
"31/08/2022","110.431","109.523","-0,82","109.523","111.364","59,66B"
"30/08/2022","112.323","110.431","-1,68","110.103","112.869","50,60B"
"29/08/2022","112.296","112.323","0,02","111.689","113.222","25,85B"
"26/08/2022","113.533","112.299","-1,09","111.978","114.091","50,75B"
"25/08/2022","112.898","113.532","0,56","112.768","114.156","54,51B"
"24/08/2022","112.856","112.898","0,04","112.632","113.888","55,53B"
"23/08/2022","110.504","112.857","2,13","110.503","112.965","49,40B"
"22/08/2022","111.487","110.501","-0,89","109.858","111.487","27,51B"
"19/08/2022","113.807","111.496","-2,04","111.146","113.807","56,80B"
"18/08/2022","113.708","113.813","0,09","113.304","114.375","74,27B"
"17/08/2022","113.508","113.708","0,17","112.483","114.146","90,62B"
"16/08/2022","113.034","113.512","0,43","112.690","113.626","58,20B"
"15/08/2022","112.767","113.032","0,24","111.067","113.214","34,13B"
"12/08/2022","109.718","112.764","2,78","109.718","112.764","66,60B"
"11/08/2022","110.236","109.718","-0,47","109.604","111.310","68,36B"
"10/08/2022","108.658","110.236","1,46","108.657","110.362","60,63B"
"09/08/2022","108.403","108.651","0,23","107.842","109.331","60,33B"
"08/08/2022","106.473","108.402","1,81","106.473","108.489","33,15B"
"05/08/2022","105.893","106.472","0,55","105.518","107.176","60,57B"
"04/08/2022","103.777","105.892","2,04","103.777","106.162","34,82B"
"03/08/2022","103.362","103.775","0,40","102.822","103.878","26,85B"
"02/08/2022","102.225","103.362","1,11","101.694","103.660","25,41B"
"01/08/2022","103.165","102.225","-0,91","101.764","103.317","28,39B"
"29/07/2022","102.597","103.165","0,55","102.514","103.989","35,89B"
"28/07/2022","101.437","102.597","1,14","101.045","102.686","26,68B"
"27/07/2022","99.773","101.438","1,67","99.772","101.471","22,86B"
"26/07/2022","100.270","99.772","-0,50","99.365","100.753","21,87B"
"25/07/2022","98.926","100.270","1,36","98.925","100.508","21,37B"
"22/07/2022","99.034","98.925","-0,11","98.321","99.724","23,14B"
"21/07/2022","98.286","99.033","0,76","97.088","99.057","23,48B"
"20/07/2022","98.244","98.287","0,04","97.277","98.366","26,13B"
"19/07/2022","96.920","98.245","1,37","96.917","98.346","23,70B"
"18/07/2022","96.553","96.916","0,38","96.553","98.291","22,68B"
"15/07/2022","96.119","96.551","0,45","95.267","96.971","25,46B"
"14/07/2022","97.879","96.121","-1,80","95.431","97.879","28,95B"
"13/07/2022","98.258","97.881","-0,40","97.403","98.928","40,12B"
"12/07/2022","n/d","98.271","0,06","97.253","98.737","23,60B"
"11/07/2022","100.282","98.212","-2,07","97.854","100.282","21,23B"
"08/07/2022","100.732","100.289","-0,44","99.958","101.577","22,65B"
"07/07/2022","98.722","100.730","2,04","98.722","101.420","29,99B"
"06/07/2022","98.294","98.719","0,43","97.423","99.141","25,91B"
"05/07/2022","98.608","98.295","-0,32","96.499","98.608","27,01B"
"04/07/2022","98.952","98.609","-0,35","98.264","99.353","16,33B"
"01/07/2022","98.542","98.954","0,42","97.231","99.340","29,83B"
"30/06/2022","99.619","98.542","-1,08","97.758","99.619","32,68B"
"29/06/2022","100.592","99.622","-0,96","99.218","101.313","25,17B"
"28/06/2022","100.766","100.591","-0,17","99.956","102.237","26,03B"
"27/06/2022","98.673","100.764","2,12","98.672","101.106","26,15B"
"24/06/2022","98.081","98.672","0,60","98.031","99.313","26,42B"
"23/06/2022","99.523","98.080","-1,45","97.775","100.232","29,90B"
"22/06/2022","99.678","99.522","-0,16","98.050","100.374","29,77B"
"21/06/2022","99.854","99.685","-0,17","99.167","101.069","27,52B"
"20/06/2022","99.824","99.853","0,03","98.409","100.481","26,12B"
"17/06/2022","102.800","99.825","-2,90","98.402","102.801","47,63B"
"15/06/2022","102.068","102.807","0,73","102.046","103.952","93,46B"
"14/06/2022","102.598","102.063","-0,52","101.325","103.328","28,06B"
"13/06/2022","105.476","102.598","-2,73","101.700","105.478","34,93B"
"10/06/2022","107.091","105.481","-1,51","104.648","107.092","34,55B"
"09/06/2022","108.367","107.094","-1,18","107.068","108.510","30,36B"
"08/06/2022","110.067","108.368","-1,55","108.045","110.142","27,07B"
"07/06/2022","110.185","110.070","-0,11","109.394","110.435","26,08B"
"06/06/2022","111.102","110.186","-0,82","110.015","111.935","22,99B"
"03/06/2022","112.392","111.102","-1,15","110.935","112.392","25,78B"
"02/06/2022","111.363","112.393","0,93","111.218","112.709","26,78B"
"01/06/2022","111.351","111.360","0,01","110.822","111.931","28,87B"
"31/05/2022","111.036","111.351","0,29","110.685","111.903","43,05B"
"30/05/2022","111.944","111.032","-0,81","110.655","112.690","23,21B"
"27/05/2022","111.890","111.942","0,05","111.558","112.441","28,39B"
"26/05/2022","110.577","111.890","1,19","110.388","112.102","31,63B"
"25/05/2022","110.580","110.579","0,00","109.699","111.006","28,51B"
"24/05/2022","110.340","110.581","0,21","108.399","110.635","34,84B"
"23/05/2022","108.500","110.346","1,71","108.500","110.680","31,20B"
"20/05/2022","107.056","108.488","1,39","107.056","108.795","33,67B"
"19/05/2022","106.249","107.005","0,71","105.760","107.420","30,36B"
"18/05/2022","108.788","106.247","-2,34","106.038","108.923","34,72B"
"17/05/2022","108.246","108.789","0,51","108.245","109.774","35,23B"
"16/05/2022","106.925","108.233","1,22","106.852","108.795","29,76B"
"13/05/2022","105.691","106.924","1,17","105.691","107.773","32,20B"
"12/05/2022","104.395","105.688","1,24","103.579","105.708","35,71B"
"11/05/2022","103.110","104.397","1,25","103.008","105.374","33,28B"
"10/05/2022","103.251","103.110","-0,14","102.386","104.286","30,91B"
"09/05/2022","105.109","103.250","-1,79","102.768","105.109","34,08B"
"06/05/2022","105.303","105.135","-0,16","103.984","106.268","36,12B"
"05/05/2022","108.337","105.304","-2,81","103.923","108.337","36,10B"
"04/05/2022","106.529","108.344","1,70","104.933","108.382","36,83B"
"03/05/2022","106.640","106.528","-0,10","106.033","107.127","28,13B"
"02/05/2022","107.876","106.639","-1,15","105.218","107.884","32,28B"
"29/04/2022","109.922","107.876","-1,86","107.876","111.819","37,76B"
"28/04/2022","109.349","109.919","0,52","108.905","110.702","32,40B"
"27/04/2022","108.214","109.349","1,05","108.214","110.107","31,19B"
"26/04/2022","110.684","108.213","-2,23","107.978","110.685","32,82B"
"25/04/2022","111.077","110.685","-0,35","109.222","111.155","30,93B"
"22/04/2022","114.343","111.078","-2,86","110.591","114.343","34,24B"
"20/04/2022","115.057","114.344","-0,62","113.945","115.057","30,70B"
"19/04/2022","115.687","115.057","-0,55","114.277","115.687","32,13B"
"18/04/2022","116.182","115.687","-0,43","115.177","116.191","25,90B"
"14/04/2022","116.781","116.182","-0,51","115.624","116.781","30,37B"
"13/04/2022","116.150","116.782","0,55","116.150","117.329","68,38B"
"12/04/2022","116.963","116.147","-0,69","116.054","118.615","29,46B"
"11/04/2022","118.320","116.953","-1,16","116.953","118.320","27,88B"
"08/04/2022","118.861","118.322","-0,45","117.487","118.868","32,25B"
"07/04/2022","118.226","118.862","0,54","117.509","119.247","33,18B"
"06/04/2022","118.885","118.228","-0,55","116.791","118.885","36,80B"
"05/04/2022","121.279","118.885","-1,97","118.794","121.628","34,43B"
"04/04/2022","121.569","121.280","-0,24","120.754","121.570","26,95B"
"01/04/2022","120.001","121.570","1,31","120.001","121.579","38,22B"
"31/03/2022","120.261","119.999","-0,22","119.999","120.880","34,25B"
"30/03/2022","120.013","120.260","0,20","119.775","120.531","30,89B"
"29/03/2022","118.740","120.014","1,08","118.740","120.900","37,56B"
"28/03/2022","119.082","118.738","-0,29","118.061","119.444","27,51B"
"25/03/2022","119.062","119.081","0,02","118.548","119.729","35,74B"
"24/03/2022","117.460","119.053","1,36","117.151","119.256","36,29B"
"23/03/2022","117.270","117.457","0,16","117.036","118.270","31,65B"
"22/03/2022","116.157","117.272","0,96","116.157","117.541","34,75B"
"21/03/2022","115.307","116.155","0,73","115.208","116.360","30,62B"
"18/03/2022","113.076","115.311","1,98","112.475","115.311","51,64B"
"17/03/2022","111.113","113.076","1,77","111.070","113.088","41,32B"
"16/03/2022","108.958","111.112","1,98","108.958","111.183","49,34B"
"15/03/2022","109.925","108.959","-0,88","107.781","109.925","36,78B"
"14/03/2022","111.716","109.928","-1,60","109.717","112.299","29,60B"
"11/03/2022","113.664","111.713","-1,72","111.332","114.627","35,03B"
"10/03/2022","113.900","113.663","-0,21","111.889","113.939","38,17B"
"09/03/2022","111.210","113.900","2,43","111.207","114.051","41,14B"
"08/03/2022","111.594","111.203","-0,35","110.969","112.390","44,46B"
"07/03/2022","114.469","111.593","-2,52","111.140","114.529","44,13B"
"04/03/2022","115.166","114.474","-0,60","113.389","115.166","33,67B"
"03/03/2022","115.173","115.166","-0,01","115.010","115.948","37,26B"
"02/03/2022","113.143","115.174","1,80","113.143","115.429","33,13B"
"25/02/2022","111.591","113.142","1,39","110.673","113.142","45,54B"
"24/02/2022","112.001","111.592","-0,15","109.125","112.001","47,41B"
"23/02/2022","112.892","111.757","-1,01","111.748","113.721","34,31B"
"22/02/2022","111.727","112.892","1,04","111.727","113.315","34,32B"
"21/02/2022","112.880","111.725","-1,02","111.608","113.405","24,16B"
"18/02/2022","113.534","112.880","-0,57","112.701","114.213","32,38B"
"17/02/2022","115.181","113.528","-1,43","113.389","115.214","34,49B"
"16/02/2022","114.830","115.181","0,31","114.816","115.734","36,02B"
"15/02/2022","113.905","114.828","0,82","113.882","114.828","35,91B"
"14/02/2022","113.643","113.899","0,29","113.358","114.167","32,27B"
"11/02/2022","113.368","113.572","0,18","113.128","114.899","49,26B"
"10/02/2022","112.462","113.368","0,81","112.163","113.812","38,41B"
"09/02/2022","112.233","112.461","0,20","111.710","113.163","37,54B"
"08/02/2022","111.995","112.234","0,21","110.943","112.251","30,31B"
"07/02/2022","112.247","111.996","-0,22","111.490","112.517","31,14B"
"04/02/2022","111.696","112.245","0,49","110.321","112.415","31,82B"
"03/02/2022","111.897","111.696","-0,18","111.225","112.502","30,20B"
"02/02/2022","113.228","111.894","-1,18","111.645","113.666","31,13B"
"01/02/2022","112.143","113.228","0,97","112.135","113.302","32,62B"
"31/01/2022","111.910","112.144","0,21","111.195","112.678","34,83B"
"28/01/2022","112.611","111.910","-0,62","111.407","112.969","38,91B"
"27/01/2022","111.303","112.612","1,19","111.303","113.057","40,42B"
"26/01/2022","110.207","111.289","0,98","110.204","112.695","42,43B"
"25/01/2022","107.935","110.204","2,10","107.185","110.711","36,63B"
"24/01/2022","108.941","107.937","-0,92","106.624","108.948","36,62B"
"21/01/2022","109.097","108.942","-0,15","108.368","109.786","36,74B"
"20/01/2022","108.015","109.102","1,01","108.015","109.873","38,34B"
"19/01/2022","106.670","108.013","1,26","106.669","108.602","33,52B"
"18/01/2022","106.369","106.668","0,28","105.786","107.013","31,08B"
"17/01/2022","106.927","106.374","-0,52","106.097","106.928","20,50B"
"14/01/2022","105.530","106.928","1,33","105.028","107.062","32,17B"
"13/01/2022","105.686","105.530","-0,15","104.974","106.251","33,77B"
"12/01/2022","103.779","105.686","1,84","103.771","105.869","46,55B"
"11/01/2022","101.946","103.779","1,80","101.918","103.780","31,16B"
"10/01/2022","102.719","101.945","-0,75","101.038","102.719","27,72B"
"07/01/2022","101.561","102.719","1,14","101.104","102.719","31,10B"
"06/01/2022","101.006","101.561","0,55","101.000","102.235","31,67B"
"05/01/2022","103.514","101.006","-2,42","100.850","103.514","34,08B"
"04/01/2022","103.922","103.514","-0,39","103.096","104.276","28,81B"
"03/01/2022","104.823","103.922","-0,86","103.413","106.125","28,24B"
"30/12/2021","104.106","104.822","0,69","104.106","105.269","29,84B"
"29/12/2021","104.863","104.107","-0,72","103.851","105.190","19,96B"
"28/12/2021","105.555","104.864","-0,65","104.503","105.652","20,04B"
"27/12/2021","104.892","105.554","0,63","104.798","105.694","20,64B"
"23/12/2021","105.251","104.891","-0,33","104.637","105.453","20,54B"
"22/12/2021","105.499","105.244","-0,24","104.386","105.711","24,28B"
"21/12/2021","105.020","105.500","0,46","105.020","105.906","25,97B"
"20/12/2021","107.171","105.020","-2,03","104.358","107.171","30,21B"
"17/12/2021","108.324","107.201","-1,04","106.518","108.324","42,29B"
"16/12/2021","107.433","108.326","0,83","107.433","109.034","39,57B"
"15/12/2021","106.763","107.431","0,63","105.697","107.603","79,35B"
"14/12/2021","107.387","106.760","-0,58","106.445","109.148","30,07B"
"13/12/2021","107.758","107.383","-0,35","107.383","109.493","31,66B"
"10/12/2021","106.296","107.758","1,38","106.296","108.275","26,29B"
"09/12/2021","108.095","106.291","-1,67","105.890","108.095","27,72B"
"08/12/2021","107.558","108.096","0,50","107.309","108.521","32,46B"
"07/12/2021","106.868","107.558","0,65","106.868","108.655","33,62B"
"06/12/2021","105.070","106.859","1,70","105.070","107.498","31,61B"
"03/12/2021","104.467","105.070","0,58","104.090","106.814","39,78B"
"02/12/2021","100.785","104.466","3,66","100.785","104.466","41,51B"
"01/12/2021","101.916","100.775","-1,12","100.727","104.087","39,48B"
"30/11/2021","102.814","101.915","-0,87","100.075","103.066","47,69B"
"29/11/2021","102.227","102.814","0,58","102.226","104.149","29,16B"
"26/11/2021","105.810","102.224","-3,39","101.495","105.810","31,58B"
"25/11/2021","104.514","105.811","1,24","104.514","106.400","27,37B"
"24/11/2021","103.652","104.514","0,83","102.464","105.041","31,04B"
"23/11/2021","102.124","103.654","1,50","101.736","103.841","35,51B"
"22/11/2021","103.036","102.122","-0,89","102.122","104.613","31,45B"
"19/11/2021","102.426","103.035","0,59","102.143","103.975","32,55B"
"18/11/2021","102.948","102.426","-0,51","102.014","103.757","34,14B"
"17/11/2021","104.405","102.948","-1,39","102.551","105.535","49,68B"
"16/11/2021","106.336","104.404","-1,82","104.113","106.971","33,50B"
"12/11/2021","107.576","106.335","-1,17","105.842","107.915","37,28B"
"11/11/2021","105.988","107.595","1,54","105.988","108.669","37,71B"
"10/11/2021","105.535","105.968","0,41","105.140","107.407","36,03B"
"09/11/2021","104.783","105.535","0,72","104.783","106.674","31,47B"
"08/11/2021","104.824","104.781","-0,04","104.182","105.679","n/d"
"05/11/2021","103.412","104.824","1,37","103.412","105.555","35,83B"
"04/11/2021","105.617","103.412","-2,09","102.835","105.627","36,01B"
"03/11/2021","105.547","105.617","0,06","104.205","106.754","42,33B"
"01/11/2021","103.514","105.551","1,98","103.514","106.136","31,24B"
"29/10/2021","105.707","103.501","-2,09","103.430","105.954","38,74B"
"28/10/2021","106.369","105.705","-0,62","105.282","107.210","34,99B"
"27/10/2021","n/d","106.363","-0,05","106.045","108.224","32,50B"
"26/10/2021","108.713","106.420","-2,11","106.321","108.713","31,82B"
"25/10/2021","106.298","108.715","2,28","106.296","109.372","37,28B"
"22/10/2021","107.714","106.296","-1,34","102.854","107.749","60,01B"
"21/10/2021","110.767","107.735","-2,75","105.714","110.767","49,39B"
"20/10/2021","110.677","110.786","0,10","110.176","112.023","34,82B"
"19/10/2021","114.422","110.673","-3,28","109.947","114.422","41,61B"
"18/10/2021","114.647","114.428","-0,19","112.841","114.927","33,41B"
"15/10/2021","113.189","114.648","1,29","113.049","114.776","34,94B"
"14/10/2021","113.457","113.185","-0,24","112.708","113.881","32,21B"
"13/10/2021","112.180","113.456","1,14","111.807","114.159","68,62B"
"11/10/2021","112.834","112.180","-0,58","112.052","113.982","32,69B"
"08/10/2021","110.586","112.833","2,03","110.586","114.172","38,79B"
"07/10/2021","110.563","110.585","0,02","110.563","111.522","38,05B"
"06/10/2021","110.454","110.560","0,09","108.180","110.614","40,67B"
"05/10/2021","110.397","110.458","0,06","110.087","111.691","33,69B"
"04/10/2021","112.900","110.393","-2,22","109.979","112.900","37,60B"
"01/10/2021","110.980","112.900","1,73","110.980","113.020","34,25B"
"30/09/2021","111.117","110.979","-0,12","110.743","112.371","42,55B"
"29/09/2021","110.125","111.107","0,89","110.125","112.028","34,67B"
"28/09/2021","113.584","110.124","-3,05","109.981","113.584","40,02B"
"27/09/2021","113.283","113.583","0,27","112.360","114.432","34,77B"
"24/09/2021","114.062","113.283","-0,69","112.505","114.062","29,81B"
"23/09/2021","112.282","114.064","1,59","112.281","114.330","38,71B"
"22/09/2021","110.252","112.282","1,84","110.251","113.321","40,39B"
"21/09/2021","108.859","110.250","1,29","108.859","110.923","34,42B"
"20/09/2021","111.435","108.844","-2,33","107.520","111.435","39,20B"
"17/09/2021","113.794","111.439","-2,07","111.157","113.794","48,21B"
"16/09/2021","115.062","113.794","-1,10","113.395","115.062","35,86B"
"15/09/2021","116.191","115.063","-0,96","114.741","116.312","49,72B"
"14/09/2021","116.405","116.181","-0,19","115.809","117.270","31,15B"
"13/09/2021","114.300","116.404","1,85","114.300","117.046","31,37B"
"10/09/2021","115.370","114.286","-0,93","114.286","116.896","35,04B"
"09/09/2021","113.413","115.361","1,72","112.435","116.354","42,84B"
"08/09/2021","117.866","113.413","-3,78","113.172","117.866","39,99B"
"06/09/2021","116.926","117.869","0,80","116.156","117.981","20,77B"
"03/09/2021","116.679","116.933","0,22","115.583","117.396","45,67B"
"02/09/2021","119.394","116.677","-2,28","116.534","119.397","34,27B"
"01/09/2021","118.793","119.396","0,52","118.067","119.942","33,67B"
"31/08/2021","119.738","118.781","-0,80","117.911","120.157","42,45B"
"30/08/2021","120.677","119.740","-0,78","119.354","120.684","25,73B"
"27/08/2021","118.725","120.678","1,65","118.721","120.678","27,99B"
"26/08/2021","120.817","118.724","-1,73","118.719","120.833","30,96B"
"25/08/2021","120.210","120.818","0,50","119.226","120.818","29,70B"
"24/08/2021","117.474","120.211","2,33","117.474","120.463","34,82B"
"23/08/2021","118.053","117.472","-0,49","117.062","118.445","30,88B"
"20/08/2021","117.163","118.053","0,76","116.040","118.308","35,98B"
"19/08/2021","116.641","117.165","0,45","114.801","117.453","42,66B"
"18/08/2021","117.904","116.643","-1,07","116.489","118.739","56,87B"
"17/08/2021","119.179","117.904","-1,07","116.248","119.179","41,43B"
"16/08/2021","121.191","119.180","-1,66","118.684","121.191","38,83B"
"13/08/2021","120.701","121.194","0,41","120.045","121.275","35,40B"
"12/08/2021","122.056","120.701","-1,11","120.534","122.095","37,81B"
"11/08/2021","122.203","122.056","-0,12","120.827","122.756","32,29B"
"10/08/2021","123.021","122.202","-0,66","122.061","123.513","29,92B"
"09/08/2021","122.809","123.019","0,17","122.258","123.597","29,23B"
"06/08/2021","121.633","122.810","0,97","121.568","123.287","28,00B"
"05/08/2021","121.801","121.633","-0,14","121.128","123.541","41,32B"
"04/08/2021","123.577","121.801","-1,44","121.072","123.587","33,39B"
"03/08/2021","122.516","123.577","0,87","120.807","123.765","35,59B"
"02/08/2021","121.803","122.516","0,59","121.797","124.536","35,10B"
"30/07/2021","125.672","121.801","-3,08","121.748","125.673","39,11B"
"29/07/2021","126.285","125.675","-0,48","124.917","126.476","31,95B"
"28/07/2021","124.615","126.286","1,34","124.542","126.712","35,48B"
"27/07/2021","126.004","124.612","-1,10","123.670","126.026","29,50B"
"26/07/2021","125.058","126.004","0,76","125.006","126.214","26,18B"
"23/07/2021","126.140","125.053","-0,87","124.422","126.204","25,85B"
"22/07/2021","125.930","126.147","0,17","125.416","126.428","25,70B"
"21/07/2021","125.404","125.929","0,42","125.247","126.112","28,62B"
"20/07/2021","124.395","125.401","0,81","123.631","125.631","29,30B"
"19/07/2021","125.958","124.395","-1,24","123.317","125.958","33,38B"
"16/07/2021","127.468","125.960","-1,18","125.808","128.010","30,86B"
"15/07/2021","128.407","127.468","-0,73","126.922","128.976","31,62B"
"14/07/2021","128.169","128.407","0,19","128.085","129.620","44,24B"
"13/07/2021","127.594","128.168","0,45","126.441","128.420","28,06B"
"12/07/2021","125.428","127.594","1,73","125.428","127.782","30,59B"
"08/07/2021","127.013","125.428","-1,25","124.310","127.013","35,07B"
"07/07/2021","125.096","127.019","1,54","125.094","127.249","34,49B"
"06/07/2021","126.919","125.095","-1,44","124.866","126.919","30,19B"
"05/07/2021","127.622","126.920","-0,55","126.531","127.633","23,77B"
"02/07/2021","n/d","127.622","1,56","125.667","127.672","31,59B"
"01/07/2021","126.802","125.666","-0,90","124.994","127.204","36,92B"
"30/06/2021","127.323","126.802","-0,41","126.199","127.323","35,56B"
"29/06/2021","127.429","127.327","-0,08","126.184","127.507","n/d"
"28/06/2021","127.255","127.429","0,14","126.629","128.067","31,42B"
"25/06/2021","128.433","127.256","-1,74","126.697","129.748","37,09B"
"24/06/2021","128.433","129.513","0,85","128.428","129.541","31,30B"
"23/06/2021","128.769","128.428","-0,26","128.182","129.901","33,12B"
"22/06/2021","129.242","128.767","-0,38","127.803","129.259","34,86B"
"21/06/2021","128.405","129.265","0,67","128.048","129.412","32,44B"
"18/06/2021","128.050","128.405","0,27","127.595","128.796","49,51B"
"17/06/2021","129.259","128.057","-0,93","127.576","129.919","38,17B"
"16/06/2021","130.091","129.259","-0,64","128.345","130.283","93,84B"
"15/06/2021","130.208","130.091","-0,09","129.304","130.436","30,63B"
"14/06/2021","129.441","130.208","0,59","129.441","131.084","32,72B"
"11/06/2021","130.076","129.441","-0,49","128.678","130.294","29,88B"
"10/06/2021","129.911","130.076","0,13","129.526","130.527","34,41B"
"09/06/2021","129.800","129.907","0,09","129.281","130.882","38,72B"
"08/06/2021","130.776","129.787","-0,76","129.230","130.776","40,16B"
"07/06/2021","130.125","130.776","0,50","129.498","131.190","38,38B"
"04/06/2021","129.600","130.126","0,40","129.148","130.137","38,18B"
"02/06/2021","128.268","129.601","1,04","128.167","129.601","45,75B"
"01/06/2021","126.218","128.267","1,63","126.218","128.363","47,64B"
"31/05/2021","125.561","126.216","0,52","125.540","126.216","25,36B"
"28/05/2021","124.367","125.561","0,96","124.284","125.698","33,95B"
"27/05/2021","123.989","124.367","0,30","123.470","124.537","50,09B"
"26/05/2021","122.988","123.989","0,81","122.988","124.256","33,99B"
"25/05/2021","124.032","122.988","-0,84","122.701","124.696","32,83B"
"24/05/2021","122.592","124.032","1,17","122.526","124.167","32,33B"
"21/05/2021","122.701","122.592","-0,09","121.760","122.799","38,20B"
"20/05/2021","122.636","122.701","0,05","122.136","122.734","31,67B"
"19/05/2021","122.976","122.636","-0,28","121.595","123.013","35,19B"
"18/05/2021","122.937","122.980","0,03","122.550","123.544","31,22B"
"17/05/2021","121.880","122.938","0,87","121.680","123.074","30,26B"
"14/05/2021","120.719","121.881","0,97","120.719","122.195","37,90B"
"13/05/2021","119.711","120.706","0,83","119.711","121.426","38,12B"
"12/05/2021","122.964","119.710","-2,65","119.458","122.964","49,65B"
"11/05/2021","121.904","122.964","0,87","120.145","122.964","34,14B"
"10/05/2021","122.038","121.909","-0,11","121.795","122.772","35,47B"
"07/05/2021","119.922","122.038","1,77","119.922","122.038","36,04B"
"06/05/2021","119.577","119.921","0,30","119.071","119.966","35,83B"
"05/05/2021","117.725","119.564","1,57","117.725","119.734","35,89B"
"04/05/2021","119.209","117.712","-1,26","117.631","119.293","35,73B"
"03/05/2021","118.951","119.209","0,27","118.528","119.904","35,35B"
"30/04/2021","120.064","118.894","-0,98","118.894","120.125","45,47B"
"29/04/2021","121.053","120.066","-0,82","119.703","121.498","35,74B"
"28/04/2021","119.392","121.053","1,39","119.392","121.276","35,22B"
"27/04/2021","120.595","119.388","-1,00","119.003","121.012","34,47B"
"26/04/2021","120.534","120.595","0,05","119.860","121.393","29,62B"
"23/04/2021","119.372","120.530","0,97","119.372","120.815","33,00B"
"22/04/2021","120.064","119.371","-0,58","119.203","120.995","34,20B"
"20/04/2021","120.925","120.062","-0,72","119.841","121.354","32,04B"
"19/04/2021","121.116","120.934","-0,15","120.682","121.974","57,67B"
"16/04/2021","120.701","121.114","0,34","120.199","121.333","35,40B"
"15/04/2021","120.290","120.701","0,34","120.084","121.409","35,00B"
